Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
1,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A00,Cholera,A00,Cholera,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
2,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A00,Cholera,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
3,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A00,Cholera,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
4,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A00,Cholera,A00.9,"Cholera, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
5,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01,Typhoid and paratyphoid fevers,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
6,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.0,Typhoid fever,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
7,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.1,Paratyphoid fever A,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
8,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.2,Paratyphoid fever B,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
9,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.3,Paratyphoid fever C,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
10,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers,A01.4,"Paratyphoid fever, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
11,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A02,Other salmonella infections,A02,Other salmonella infections,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
12,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A02,Other salmonella infections,A02.0,Salmonella enteritis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
13,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A02,Other salmonella infections,A02.1,Salmonella sepsis,Y,Y,N,N,N,,,M,2010-01-01 00:00:00,,M,2013-06-01 00:00:00,,Modify title,"Existing code - amend description, replace ""septicaemia"" with ""sepsis"" in the WHO_Full_Desc as per the WHO corrigenda",,,,,,,,,,,,
14,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A02,Other salmonella infections,A02.2,Localized salmonella infections,Y,Y,N,N,N,,,M,2003-01-01 00:00:00,,M,,,Dagger deleted,"Existing code, description error on 2013 MIT - this should be ""Localized""",,,,,,,,,,,,
15,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A02,Other salmonella infections,A02.8,Other specified salmonella infections,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
