nappi_code,name,schedule,dosage_form,pack_size,sep,dispensing_fee,is_generic,regno
703312001,Xylestesin-a 1.7ml cartridge,S4,injection,50.0,R 399.78,R 135.19,Generic,U/4/104
710488001,Ubistesin cartridges 1.7ml 40mg/0.005mg,S4,injection,50.0,R 476.22,R 154.52,Generic,A38/4/0430
710497001,Ubistesin forte cartridges 1.7ml 40mg/0.,S4,injection,50.0,R 476.22,R 154.52,Generic,A38/4/0431
701855001,Teveten 600  ,S3,tablet,28.0,R 459.95,R 151.74,Generic,35/7.1/0372
703107001,Femoston-conti,S4,tablet,28.0,R 380.95,R 130.01,Generic,36/21.8.2/0330
703108001,Femoston 1/10,S4,tablet,28.0,R 380.95,R 130.01,Generic,36/21.8.2/0329
704032001,Clacee,S4,tablet,10.0,R 188.15,R 76.98,Generic,X/20.1.1/229
704033001,Clacee,S4,tablet,10.0,R 197.98,R 80.38,Generic,29/20.1.1/0163
704033002,Clacee,S4,tablet,14.0,R 261.88,R 97.25,Generic,29/20.1.1/0163
705708001,Lipanthyl,S3,capsule,30.0,R 532.41,R 162.79,Generic,30/7.5/0494
706443001,Faverin,S5,tablet,30.0,R 499.34,R 157.92,Generic,33/1.2/0354
707452002,Serc,S3,tablet,20.0,R 469.34,R 153.51,Generic,38/5.6/0040
708096001,Teveten plus 600mg/12.5mg,S3,tablet,28.0,R 468.66,R 154.14,Generic,A38/7.1/0728
708279001,Mavik (Was Gopten) ,S3,capsule,30.0,R 311.74,R 110.97,Generic,A39/7.1.3/0531
710256001,Ectiva 10Mg,S5,capsule,30.0,R 382.66,R 130.48,Generic,33/11.3/0027
710257001,Ectiva 15Mg,S5,capsule,30.0,R 440.64,R 146.43,Generic,33/11.3/0028
710392001,Mucolator,S2,sachet,30.0,R 111.93,R 50.61,Generic,34/3.3/0178
710822112,Brufen,S1,tablet,10.0,R 47.62,R 28.36,Generic,A/3.1/727
710822113,Brufen,S1,tablet,20.0,R 77.05,R 38.54,Generic,A/3.1/727
710830131,Brufen,S1,tablet,10.0,R 66.24,R 34.80,Generic,H/3.1/39
710849109,Brufen ,S3,tablet,20.0,R 117.02,R 52.37,Generic,R/3.1/71
710849125,Brufen ,S3,tablet,100.0,R 476.84,R 154.61,Generic,R/3.1/71
710857004,Brufen for children (was Brufen paed),S2,suspension,100.0,R 103.84,R 47.81,Generic,Q/3.1/323
712382001,Cynt,S3,tablet,28.0,R 357.30,R 123.50,Generic,32/7.1.3/0136
712383001,Cynt,S3,tablet,28.0,R 361.35,R 124.62,Generic,32/7.1.3/0136
714624001,Tarka 180mg/2mg,S3,Srt,30.0,R 597.71,R 172.39,Generic,A39/7.1.3/0508
714625001,Tarka 240mg/4mg,S3,Srt,30.0,R 597.71,R 172.39,Generic,A39/7.1.3/0547
715476009,Colofac,S2,tablet,20.0,R 125.72,R 55.38,Generic,Q/11.2/165
715476017,Colofac,S2,tablet,100.0,R 511.27,R 159.68,Generic,Q/11.2/165
716571001,Synthroid 25 Μg,S3,tablet,90.0,R 109.21,R 49.67,Generic,42/21.3/0670
716574001,Synthroid 50 Μg,S3,tablet,90.0,R 136.90,R 59.25,Generic,42/21.3/0671
716575001,Synthroid 88 Μg,S3,tablet,90.0,R 168.58,R 70.21,Generic,42/21.3/0673
716576001,Synthroid 100 Μg,S3,tablet,90.0,R 186.39,R 76.37,Generic,42/21.3/0674
716577001,Synthroid 112 Μg,S3,tablet,90.0,R 2934.45,R 375.27,Generic,42/21.3/0675
732826004,Influvac 0.5ml,S2,vacutainer,0.0,R 119.99,R 53.40,Generic,T/30.1/581
734071001,Isoptin  40Mg  ,S3,tablet,100.0,R 197.28,R 80.14,Generic,H646 ACT 101 OF 1965
734136005,Isoptin 2ml,S3,injection,5.0,R 277.09,R 101.44,Originator,H647 ACT 101 OF 1965
734373007,Isoptin sr,S3,Srt,30.0,R 365.98,R 125.89,Generic,V/7.1/280
734373015,Isoptin sr,S3,Srt,100.0,R 1037.52,R 237.10,Generic,V/7.1/280
742317005,Metalcaptase ,S4,capsule,100.0,R 2934.45,R 375.27,Generic,J/27/334
752479016,Pankreoflat,S1,tablet,100.0,R 573.22,R 168.79,Generic,C/11.10/59
752479024,Pankreoflat,S1,tablet,25.0,R 167.63,R 69.88,Generic,C/11.10/59
752649019,Paracodin,S6,syrup,100.0,R 59.85,R 32.59,Generic,B1041 ACT 101 OF 1965
752649027,Paracodin,S6,syrup,200.0,R 99.65,R 46.36,Generic,B1041 ACT 101 OF 1965
757888003,Prothiaden,S5,capsule,100.0,R 419.79,R 140.69,Generic,F/1.2/161
784869014,Rythmol,S4,tablet,100.0,R 1105.70,R 247.13,Generic,R/6.2/149
784877017,Rythmol,S4,tablet,100.0,R 2045.12,R 326.91,Generic,R/6.2/150
793671019,Brufe Retard,S3,tablet,60.0,R 610.04,R 174.21,Generic,Y/3.1/13
795682018,Duphaston 10mg,S4,tablet,30.0,R 439.65,R 146.16,Generic,S/21.8.2/165
802638007,Phenylephrine Hcl  ,S1,injection,10.0,R 1159.42,R 255.03,Generic,H630 ACT 101 OF 1965
802638008,Phenylephrine hcl 1ml ampoule,S1,injection,5.0,R 637.05,R 178.18,Generic,H630 ACT 101 OF 1965
805033017,Mavik (was Gopten),S3,capsule,30.0,R 301.21,R 108.07,Generic,28/7.1.3/0261
805068015,Mavik (was Gopten),S3,capsule,30.0,R 301.21,R 108.07,Generic,28/7.1.3/0263
805203028,Luvox bi-tabs,S5,tablet,30.0,R 684.41,R 185.15,Generic,X/1.2/60
806358009,Hytrin,S4,tablet,10.0,R 211.42,R 83.37,Generic,27/7.1/0519
806366028,Hytrin,S4,tablet,28.0,R 439.01,R 145.98,Generic,27/7.1/0520
806374004,Hytrin,S4,tablet,28.0,R 725.16,R 191.14,Generic,27/7.1/0521
810207001,Hytrin ,S4,tablet,28.0,R 1206.63,R 261.98,Generic,27/7.1/0522
813826004,Klacid i.v.,S4,injection,10.0,R 418.06,R 140.22,Generic,28/20.1.1/0264
822434008,Creon 25000,S1,capsule,100.0,R 2353.61,R 343.68,Generic,28/11.1/0645
822434009,Creon 25000,S1,capsule,20.0,R 570.41,R 168.38,Generic,28/11.1/0645
828769001,Eryderm,S4,lotion,60.0,R 220.50,R 85.87,Generic,Q/20.1.1/248
830046003,Klacid p125,S4,suspension,50.0,R 240.56,R 91.39,Generic,28/20.1.1/0035
830054006,Klacid p250,S4,suspension,50.0,R 391.13,R 132.81,Generic,29/20.1.1/0190
836680006,Tarka,S3,Src,30.0,R 553.21,R 165.85,Generic,31/7.1.3/0631
841552002,Klacid xl,S4,Srt,5.0,R 307.89,R 109.91,Generic,31/20.2.2/0379
841552003,Klacid xl,S4,Srt,10.0,R 563.29,R 167.33,Generic,31/20.2.2/0379
847844005,Reductil 10  ,S5,capsule,30.0,R 498.67,R 157.82,Generic,33/11.3/0025
851892019,Physiotens,S3,tablet,28.0,R 439.74,R 146.18,Generic,32/7.1.3/0139
851906001,Physiotens,S3,tablet,28.0,R 439.74,R 146.18,Generic,32/7.1.3/0140
851914004,Physiotens,S3,tablet,28.0,R 439.74,R 146.18,Generic,32/7.1.3/0141
853534004,Reductil 15  ,S5,capsule,30.0,R 573.13,R 168.78,Generic,33/11.3/0026
887162002,Creon 10000,S1,capsule,100.0,R 1079.67,R 243.30,Generic,33/11.1/0340
887162003,Creon 10000,S1,capsule,20.0,R 265.61,R 98.28,Generic,33/11.1/0340
3000557001,Vertin 24,S3,tablet,20.0,R 338.45,R 118.32,Generic,44/5.6/0458
721595001,Norvir,S4,tablet,60.0,R 125.40,R 55.27,Generic,44/20.2.8/0128
3000492001,Synagis ,S4,injection,0.0,R 7351.86,R 615.46,Generic,50/30.1/0148   
3000493001,Synagis ,S4,injection,1.0,R 14475.60,R 1002.80,Generic,50/30.1/0148
700642006,Chirocane 10ml,S4,injection,10.0,R 998.28,R 231.33,Generic,35/4/0193
700644001,Chirocane 7.5 Mg,S4,injection,10.0,R 1210.81,R 262.59,Generic,35/4/0194
700922003,Kaletra Solution,S4,capsule,180.0,R 678.69,R 184.31,Generic,35/20.2.8/0254
700924019,Kaletra,S4,syrup,60.0,R 523.00,R 161.40,Generic,35/20.2.28/0255
705335001,Humira pre-filled syringe 0.8ml,S4,injection,0.0,R 9153.58,R 713.42,Generic,37/30.2/0252
709643001,Forane,S5,Lfi,100.0,R 1059.95,R 240.40,Generic,G/2.1/209
710028001,Aluvia,S4,tablet,120.0,R 399.16,R 135.02,Generic,41/20.2.8/0217
