osm_id,name,type,latitude,longitude,address,city,province
28234904,Van Heerden,pharmacy,-25.7659723,28.2981973,,,Gauteng
29096036,Bougainville Hospital,hospital,-25.7175315,28.1537079,"647, Redelinghuys Street, 0030",Pretoria,Gauteng
50159939,Claremont Hospital,hospital,-33.9866104,18.4665444,,,Western Cape
60482323,UCT Private Academic Hospital,hospital,-33.942054,18.4633143,"D18, Anzio Road, 7925",Cape Town,Western Cape
60696607,Clicks,pharmacy,-34.1395998,18.4302702,,,Western Cape
210124444,Kloof Pharmacy,pharmacy,-29.7923434,30.8328981,,,KwaZulu-Natal
242958852,Mays Chemist,pharmacy,-26.1767172,28.0008288,Main Road,,Gauteng
245937659,Dis-Chem Olympus,pharmacy,-25.7960781,28.3226275,"Haymeadow Crescent, 0001",Pretoria,Gauteng
286987178,Groenkloof Dentist,dentist,-25.77228,28.2149499,"George Storrar Drive, 0181",Pretoria,Gauteng
286987191,,pharmacy,-25.77242,28.21527,,,Gauteng
286987360,,dentist,-25.77239,28.21666,,,Gauteng
286987408,Clicks,pharmacy,-25.7728992,28.2337821,"Shop 335 Brooklyn Mall, Veale Street, 0011",Pretoria,Gauteng
287319174,Rayton Public Clinic,clinic,-25.73899,28.53191,"Montrose Street, 1001",Rayton,Gauteng
288565838,Clicks,pharmacy,-25.78765,28.27663,"Lois Avenue, Menlyn Retail Park, 0161",Pretoria,Gauteng
290403138,Clicks,pharmacy,-25.7443118,28.2939476,,,Gauteng
290406178,Dis-Chem,pharmacy,-25.7657197,28.2814792,"20, Alkantrant Road, 0081",Pretoria,Gauteng
290719097,Nagel,dentist,-25.795001,28.2812976,,,Gauteng
290719301,Link,pharmacy,-25.7944945,28.2702995,,,Gauteng
291445920,,dentist,-26.06255,27.90258,,,Gauteng
292280750,Life,dentist,-25.76639,28.35832,,,Gauteng
292280938,Clicks,pharmacy,-25.76592,28.35963,"Von Backstrom Boulevard, Silver Oaks Crossing, 0054",Pretoria,Gauteng
292281180,Dischem,pharmacy,-25.78477,28.35424,,,Gauteng
292559257,Dis-Chem,pharmacy,-25.7591795,28.243256,"219, Lynnwood Road, 0181",Pretoria,Gauteng
292559517,Dr Annette Preis,dentist,-25.751229,28.2356279,,,Gauteng
292560342,Crest,pharmacy,-25.7527707,28.2406649,"526, Jan Shoba Street, 0028",Pretoria,Gauteng
293714877,Minné,dentist,-25.7964,28.32207,,,Gauteng
294145073,Paragon,pharmacy,-25.75751,28.2135699,"Johnston Street, 0132",Pretoria,Gauteng
294145120,,pharmacy,-25.75218,28.20363,,,Gauteng
294145149,Clicks,pharmacy,-25.7509,28.20322,"Greef Street, 0002",Pretoria,Gauteng
294145154,Intermed,dentist,-25.75209,28.20409,Robert Sobukwe Street,Pretoria,Gauteng
294145225,Pharma Value,pharmacy,-25.7530867,28.2072818,,,Gauteng
294780285,Alpha Pharm,pharmacy,-26.11498,28.02226,,,Gauteng
296232026,Pharmacross,pharmacy,-25.8031564,28.2871614,,,Gauteng
296434700,Glyn,pharmacy,-25.7416801,28.24208,"Thomson Street, 1166",Pretoria,Gauteng
296434809,Pharma Value,pharmacy,-25.73238,28.2439999,,,Gauteng
296435033,Dischem,pharmacy,-25.7036493,28.2413129,,,Gauteng
296435401,Tandarts,dentist,-25.71835,28.2309099,"962, Nico Smith Street, 0002",Pretoria,Gauteng
296498114,Maymed,pharmacy,-25.7186367,28.2068134,"Shop.2, Anleen Centre, Frederika Street, 0184",Pretoria,Gauteng
296498408,Oral and Dental Hospital.,dentist,-25.7107632,28.2010501,"Steve Biko Road, 0084",Pretoria,Gauteng
296498986,Tshwane District Hospital,hospital,-25.7327472,28.200657,"349-Jr, Doctor Savage Road, 0084",Pretoria,Gauteng
296944667,,dentist,-25.74574,28.19468,,,Gauteng
296944855,Libertas,pharmacy,-25.7452149,28.1930559,,,Gauteng
296945308,Forum,pharmacy,-25.74847,28.19872,,,Gauteng
298122726,Cross Roads,pharmacy,-26.0933111,28.0056251,,,Gauteng
298123405,Oakmed,pharmacy,-26.09264,28.00348,,,Gauteng
298125275,Medicare,pharmacy,-26.1041145,27.9772037,,,Gauteng
300279837,Culemborg Pharmacy,pharmacy,-33.9191885,18.4253587,,,Western Cape
300283912,Litekem Pharmacy,pharmacy,-33.9243529,18.4226813,"24, Darling Street, 8000",Cape Town,Western Cape
300376491,Pharma Value,pharmacy,-25.8264878,28.2594646,,,Gauteng
300376715,Pharmavalue,pharmacy,-25.86189,28.2506999,,,Gauteng
300385930,"Nova Dental Care Southlake Centre, First Floor",dentist,-25.8601977,28.1873494,"1025, Lenchen Avenue North, 0157",Centurion,Gauteng
300388908,Castle Ridge,pharmacy,-25.8142756,28.2420941,,,Gauteng
302077613,Clicks,pharmacy,-25.7357401,28.31181,"2 & 3, Keuning Street, 0127",Pretoria,Gauteng
