name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,source
ec Matatiele EMS Station,other,,EC,,"Main Street, Matatiele, Private Bag X836",-30.348,28.82022,,,,dsfsi_ems
ec Bizana EMS Station,other,,EC,,,-30.8621,29.854648,,,,dsfsi_ems
ec Mzamba EMS Station,other,,EC,,,-31.0781,30.183295,,,,dsfsi_ems
ec Sipetu EMS Station,other,,EC,,,-31.09,29.18,,,,dsfsi_ems
ec Tabankulu EMS Station,other,,EC,,,-30.96,29.29,,,,dsfsi_ems
ec Mount Ayliff EMS Station,other,,EC,,,-30.7977,29.37102,,,,dsfsi_ems
ec Mount Frere EMS Station,other,,EC,,,-30.9,28.99,,,,dsfsi_ems
ec Cathcart EMS Station,other,,EC,,,-32.298,27.143,,,,dsfsi_ems
ec Keiskammahoek EMS Station,other,,EC,,,-32.6835,27.13396,,,,dsfsi_ems
ec Stutterheim EMS Station,other,,EC,,,-32.56,27.42,,,,dsfsi_ems
ec Komga EMS Station,other,,EC,,,-32.576,27.89576,,,,dsfsi_ems
ec Willowvale EMS Station,other,,EC,,,-32.265,28.498,,,,dsfsi_ems
ec Butterworth EMS Station,other,,EC,,,-32.332,28.138,,,,dsfsi_ems
ec Peddie EMS Station,other,,EC,,,-33.21,27.132,,,,dsfsi_ems
ec Adelaide EMS Station,other,,EC,,,-32.699,26.294,,,,dsfsi_ems
ec Bedford EMS Station,other,,EC,,,-32.6762,26.083139,,,,dsfsi_ems
ec Fort Beaufort EMS Station,other,,EC,,,-32.781,26.634,,,,dsfsi_ems
ec Victoria EMS Station,other,,EC,,,-32.775,26.846,,,,dsfsi_ems
ec East London EMS Station,other,,EC,East London,,-32.9785,27.89822,,,,dsfsi_ems
ec Grey EMS Station,other,,EC,East London,,-32.87,27.39,,,,dsfsi_ems
ec Mdantsane EMS Station,other,,EC,East London,,-32.92,27.74,,,,dsfsi_ems
ec Dordrecht EMS Station,other,,EC,,,-31.391,27.044,,,,dsfsi_ems
ec Indwe EMS Station,other,,EC,,,-31.4683,27.34042,,,,dsfsi_ems
ec Lady Frere EMS Station,other,,EC,,,-31.719,27.199,,,,dsfsi_ems
ec Ngcobo EMS Station,other,,EC,,,-31.678,28.005,,,,dsfsi_ems
ec Hewu EMS Station,other,,EC,,,-32.172,26.805,,,,dsfsi_ems
ec Hofmeyer EMS Station,other,,EC,,,-31.654,25.805,,,,dsfsi_ems
ec Ilinge EMS Station,other,,EC,,,-31.977,27.04,,,,dsfsi_ems
ec Molteno EMS Station,other,,EC,,,-31.391,26.355,,,,dsfsi_ems
