name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,phone,email,ideal_clinic_score,source
Baziya CHC,chc,Public,EC,,BAZIYA MISSION MTHATHA,-31.6151,28.38365,,,,,None,78,ndoh_detailed
Central CHC (Sandford),chc,Public,EC,Port Elizabeth,Northwod road Mount Croix,-33.95808,25.60146,351,,,+27 41 373 7631,henri.heinemann@impiloecprov.gov.za,80,ndoh_detailed
Dimbaza CHC,chc,Public,EC,East London,Dimbaza Central Dimbaza,-32.83526,27.21386,,,,,None,56,ndoh_detailed
Duncan Village CHC,chc,Public,EC,East London,Plumbayo Road East London,-33.0079,27.88592,,,,+27 43 742 4762,NONE,51,ndoh_detailed
Empilweni Gompo CHC,chc,Public,EC,East London,1 Dunoon Road Buffalo Flats East London,-33.01465,27.84914,,,,,None,61,ndoh_detailed
Gqebera CHC,chc,Public,EC,Port Elizabeth,Vuyo Street Walmer,-33.98614,25.58886,,,,,gqegeraclinicschn@mandelametro.gov.za,81,ndoh_detailed
Graaff-Reinet Day Hospital,chc,Public,EC,,Bree Street Graaff Reinet,-32.27625,24.55465,,,,,cathy.koeberg@impilo.ecprov.gov.za,69,ndoh_detailed
Idutywa Village CHC,chc,Public,EC,,R408 Way to Willovale Private Bag 1232,-32.1075,28.3139,,,,+27474892222,NONE,63,ndoh_detailed
Joubertina CHC,chc,Public,EC,,Corner ferreira and Williams Steward Joubertina,-33.82632,23.86474,,,,,NONE,79,ndoh_detailed
Korsten CHC,chc,Public,EC,Port Elizabeth,90 Livingston Hospital Stanford Road Korsten,-33.92519,25.57074,583,,,,beverly.snayers@impilo.ecprov.gov.za,75,ndoh_detailed
Kuyasa CHC,chc,Public,EC,,"High Street, Cofimvaba",-32.0071,27.5825,,,,,,,who_mfl
Kwazakhele CHC,chc,Public,EC,Port Elizabeth,Mavuso Road Kwazakhele,-33.8775,25.58605,,,,,siphiwo.matshayi@impilo.ecprov.gov.za,76,ndoh_detailed
Laetitia Bam CHC,chc,Public,EC,Port Elizabeth,Matanzima Road Kwanobuhle,-33.80801,25.39833,,,,,vuyokazi.ben-mazwi@impilo.ecprov.gov.za,78,ndoh_detailed
Makhotyana CHC,chc,Public,EC,,MAKOTYANA A/A LIBODE,-31.43506,29.0226,,,,,NONE,65,ndoh_detailed
Maluti CHC,chc,Public,EC,,Maluti Township Maluti,-30.2653,28.7888,,,,,NONE,72,ndoh_detailed
Mbekweni CHC,chc,Public,EC,,NGQWALO AREA VIEDGESVILLE,-31.72014,28.68647,,,,,None,93,ndoh_detailed
Mhlakulo CHC,chc,Public,EC,,TSOLO,-31.40212,28.84407,,,,,None,87,ndoh_detailed
Middledrift CHC,chc,Public,EC,,Corner Bokwe and Mhlambiso Street Middledrfit,-32.8136,26.9883,,,,,pnmaki@gmail.com,87,ndoh_detailed
Motherwell CHC,chc,Public,EC,,Tyinira Rd Motherwell,-33.81189,25.59794,,,,,sivo.njalo@telkomsa.net,81,ndoh_detailed
Motherwell Community Health Centre,chc,Public,EC,Gqeberha,"Motherwell, Gqeberha, 6211",-33.831,25.671,,,,,,,curated
Mount Coke CHC,chc,Public,EC,East London,Mt Coke Village King Williams Town,-32.98065,27.44213,,,,,None,43,ndoh_detailed
Mqanduli CHC,chc,Public,EC,,MQANDULI MAIN STREET MQANDULI,-31.82352,28.76501,,,,,None,80,ndoh_detailed
New Brighton CHC,chc,Public,EC,Port Elizabeth,Mati Road New Brighton,-33.90868,25.58545,600,,,,zanele.foley@impilo.ecprov.gov.za,78,ndoh_detailed
Ngangelizwe CHC,chc,Public,EC,,Boundary Road Mthatha,-31.60149,28.7999,,,,,NONE,74,ndoh_detailed
Ngcobo CHC,chc,Public,EC,,N/A NGCOBO,-31.68064,28.01089,,,,,NONE,52,ndoh_detailed
Ngcwanguba CHC,chc,Public,EC,,NGCANGUBA LOC NGCWANGUBA,-31.91905,29.03239,,,,,None,79,ndoh_detailed
Ngonyama CHC,chc,Public,EC,,Ngqonyama Village Lady Frere,-31.68144,26.93366,,,,,NONE,50,ndoh_detailed
Nomzamo CHC,chc,Public,EC,Cape Town,Nonzamo Health Centre Zone 1,-31.91305,26.97075,,,,,NONE,91,ndoh_detailed
Nontyatyambo CHC,chc,Public,EC,East London,9758 Dunga Road Mdantsane Mdantsane,-32.9473,27.75456,,,,,None,70,ndoh_detailed
Nqamakwe CHC,chc,Public,EC,Nqamakwe,MAIN ROAD NQAMAKWE VILLAGE NQAMAKWE,-32.2085,27.9354,,,,+27 47 487 0166,NONE,87,ndoh_detailed
Port St Johns CHC,chc,Public,EC,,GOLF COURSE ROAD PORT ST JOHNS PORT ST JOHNS,-31.6323,29.54569,,,,,None,73,ndoh_detailed
Qumbu CHC,chc,Public,EC,,N2 QUMBU,-31.16726,28.86993,,,,,seliwgelese@live.com,69,ndoh_detailed
Rosedale CHC,chc,Public,EC,Port Elizabeth,1 Acardia Street Rosedale,-33.73686,25.37618,,,,+27 41 506 1114,roseclinicschn@nelsonmandela.gov.za,79,ndoh_detailed
Settlers Day Hospital,chc,Public,EC,Makhanda,1 Cobden Hospital Grahamstown,-33.30777,26.5335,,,,+27 46 622 3033,NONE,84,ndoh_detailed
Thornhill CHC,chc,Public,EC,,Thornhill Village Ntabethemba Cradock,-31.98723,26.61231,,,,,thornhillz@telkomsa.net,93,ndoh_detailed
Tombo CHC,chc,Public,EC,,TOMBO ADMINISTRATIVE AREA PORT ST JOHNS,-31.6271,29.38288,,,,,NONE,71,ndoh_detailed
West End CHC,chc,Public,EC,Port Elizabeth,Corner of Barbinia St. Bridget Street West End,-33.88472,25.51816,,,,+27 41 482 0386,westendclinicschn@mandelametro.gov.za,74,ndoh_detailed
Whittlesea CHC,chc,Public,EC,,648 Stand Whittlesea (SADA Location),-32.17293,26.82082,,,,,None,95,ndoh_detailed
Willowvale CHC,chc,Public,EC,Willowvale,363 Kob inn Road Willowvale,-32.2707,28.5192,,,,,NONE,97,ndoh_detailed
Xhora CHC,chc,Public,EC,,Elliotdale Main Street Elliotdale,-31.9735,28.6916,,,,,NONE,60,ndoh_detailed
Zwelakhe Dalasile CHC,chc,Public,EC,,ZWELAKHE DALASILE CHC NGCOBO,-31.64814,28.24386,,,,,NONE,52,ndoh_detailed
12 Clinic,clinic,Public,EC,,NU12 Clinic Mdantsane Mdantsane,-32.93281,27.71784,,,,,None,77,ndoh_detailed
13 Clinic,clinic,Public,EC,,NU 13 Mdantsane,-32.94139,27.70061,,,,,NONE,29,ndoh_detailed
16 Clinic,clinic,Public,EC,,NU16 Mdatsana  East London,-32.95895,27.69315,,,,,NONE,39,ndoh_detailed
17 Clinic,clinic,Public,EC,,Mdantsane,-32.94888,27.6863,,,,,NONE,68,ndoh_detailed
AD Keet Clinic,clinic,Public,EC,,,-34.0602,24.9183,,,,,,,who_mfl
Aberdeen Satellite Clinic,clinic,Public,EC,,,-32.475,24.052,,,,,,,who_mfl
Addo Clinic,clinic,Public,EC,,Main Rd. Addo Addo,-33.52623,25.71345,,,,,NONE,38,ndoh_detailed
Addo Enon Satellite Clinic,clinic,Public,EC,,,-33.3946,25.5463,,,,,,,who_mfl
Adelaide Gateway Clinic,clinic,Public,EC,,Pos Retief Drive Adelaide,-32.6999,26.294,60,,,+27 46 684 0066,NONE,85,ndoh_detailed
Aeroville Clinic,clinic,Public,EC,,15 Birdanire Somerset East,-32.75098,25.60093,,,,,None,57,ndoh_detailed
Afsondering Clinic,clinic,Public,EC,,Afsondering location Matatiele,-30.179,28.9487,,,,,NONE,80,ndoh_detailed
Agnes Rest Clinic,clinic,Public,EC,,Mnggukhwebe Lady Frere,-31.6973,27.03183,,,,,NONE,63,ndoh_detailed
Albany Road Clinic,clinic,Public,EC,,,-33.1803,26.3212,,,,,,,who_mfl
Alexandria Clinic,clinic,Public,EC,,1 Sending street Alexandria,-33.65128,26.41422,,,,,NONE,57,ndoh_detailed
Algoa Park Clinic,clinic,Public,EC,,CNR Chudleigh an ST. Leornards street Algoa Park,-33.90119,25.56448,,,,,lerina.magutywa@impilo.ecprov.gov.za,88,ndoh_detailed
Aliwal North Block H Clinic,clinic,Public,EC,,NTSUENJANA STREET ALIWAL NORTH,-30.69741,26.72446,,,,,NONE,53,ndoh_detailed
All Saints Gateway Clinic,clinic,Public,EC,,NGCOBO,-31.66185,28.0504,244,,,,NONE,61,ndoh_detailed
Alphendale Clinic,clinic,Public,EC,,Alphen Road Alphendale,-33.01347,27.84128,,,,,None,51,ndoh_detailed
Amabele Clinic,clinic,Public,EC,,Amabele Station Road Stutterheim,-32.6634,27.5239,,,,,NONE,80,ndoh_detailed
Amadiba Clinic,clinic,Public,EC,,UMGUNGUNDLOVU A/A BIZANA,-31.0731,30.179,,,,,None,83,ndoh_detailed
Amahleke Clinic,clinic,Public,EC,,Thembisa Township Dimbaza,-32.83379,27.22839,,,,,None,63,ndoh_detailed
Amandengane Clinic,clinic,Public,EC,,CHITHWAYO LOCATION BIZANA,-31.0992,29.7506,,,,,NONE,79,ndoh_detailed
Amantshangase Clinic,clinic,Public,EC,,Amatshangase A/A Bizana,-30.8396,29.5879,,,,,None,83,ndoh_detailed
Amathole Basin Clinic,clinic,Public,EC,,Middledrift,-32.696,26.9931,,,,,NONE,74,ndoh_detailed
Amatola TB Clinic,clinic,Public,EC,,,-32.89,27.39,,,,,,,who_mfl
Andrieskraal Clinic,clinic,Public,EC,,R 331 Patensie Humansdorp,-33.752585,24.81069,,,,,None,62,ndoh_detailed
Anglo African Street Clinic,clinic,Public,EC,,No. 3 Huntley Street Grahamstown,-33.31179,26.52656,,,,,NONE,58,ndoh_detailed
Askeaton Clinic,clinic,Public,EC,,Askeaton Location Cala,-31.6252,27.46074,,,,,NONE,75,ndoh_detailed
Aspiranza Clinic,clinic,Public,EC,,Robert King Crescent Buffalo Flats,-33.01927,27.84977,,,,,NONE,56,ndoh_detailed
Assina Mandla Clinic,clinic,Public,EC,,Nuwabeni Location Alice,-32.7505,26.7941,,,,,NONE,59,ndoh_detailed
Augustine's Clinic,clinic,Public,EC,,SOLOMZI LOCATION TSOLO,-31.22426,28.60248,,,,,NONE,75,ndoh_detailed
Avontuur Satellite Clinic,clinic,Public,EC,,,-33.7287,23.1698,,,,,,,who_mfl
Bacclesfarm Clinic,clinic,Public,EC,,Botlotwa Village Queestown,-32.03991,26.45647,,,,,NONE,81,ndoh_detailed
Badi Clinic,clinic,Public,EC,,Lowwer Gwadu Location Willowvale,-32.2871,28.6622,,,,,NONE,69,ndoh_detailed
Bala Clinic,clinic,Public,EC,,BALA A/A FLAGSTAFF,-30.99031,29.53658,,,,,None,72,ndoh_detailed
Baleni Clinic,clinic,Public,EC,,BALENI A/A BIZANA,-31.1592,29.9717,,,,,NONE,80,ndoh_detailed
Balfour Clinic,clinic,Public,EC,,Balfour,-32.5458,26.6821,,,,,NONE,46,ndoh_detailed
Bambisana Gateway Clinic,clinic,Public,EC,,LUSIKISIKI,-31.4508,29.4546,120,,,,None,70,ndoh_detailed
Banzi Clinic,clinic,Public,EC,,Banzi Village Cofimvaba,-32.1262,27.51987,,,,,NONE,66,ndoh_detailed
Barnabas Gateway Clinic,clinic,Public,EC,Libode,PORT ST JOHNS ROAD Libode,-31.56429,29.11617,169,,,+27 47 555 5300,NONE,66,ndoh_detailed
Baroda Clinic,clinic,Public,EC,,Baroda Clinic,-32.00205,25.51021,,,,,NONE,64,ndoh_detailed
Baviaans Clinic,clinic,Public,EC,,Corner Phillpott and Sarel Cilliers street Steytle,-33.3341,24.34315,,,,,NONE,72,ndoh_detailed
Beacon Bay Clinic,clinic,Public,EC,,Major Square Road Beacon Bay Eas London,-32.96779,27.93832,,,,,,65,ndoh_detailed
Beatrice Ngwentle Clinic,clinic,Public,EC,,Mayila Street Somerset East,-32.7262,25.5962,,,,,NONE,60,ndoh_detailed
Beaufort West Constitution Street Clinic,clinic,Public,EC,,,-32.3483,22.5831,,,,,,,who_mfl
Beaufort West District Council Clinic,clinic,,EC,,,-32.3501,22.587,,,,,,,who_mfl
Bedford Clinic,clinic,Public,EC,Bedfordview,Cole Street Bedford,-32.6829,26.0883,60,,,,NONE,44,ndoh_detailed
Beestekraal Clinic,clinic,Public,EC,,Ekuphumleni Village Cala,-31.51964,27.8097,,,,,NONE,83,ndoh_detailed
Bengu Clinic,clinic,Public,EC,,Ku Bengu Clinic Tsomo,-32.1434,27.6173,,,,,NONE,41,ndoh_detailed
Bengu Clinic (Emalahleni),clinic,Public,EC,,Bengu Lady Frere,-31.79271,27.33537,,,,,NONE,82,ndoh_detailed
Bensonvale Clinic,clinic,Public,EC,,BENSONVALE CLINIC STERKSPRUIT,-30.58224,27.35662,,,,,NONE,85,ndoh_detailed
Bergsig Clinic,clinic,Public,EC,,HIV Tarentaal en Arendstraat Kirkwood,-33.38749,25.45042,,,,,erikad@srvm.gov.za,40,ndoh_detailed
Berlin Clinic,clinic,Public,EC,,8 Legian Street Berlin,-32.88396,27.57783,,,,,None,52,ndoh_detailed
Bethania Clinic,clinic,Public,EC,,MAKGAASENG LOCATION MT FLETCHER,-30.6892,28.50994,141,,,,NONE,52,ndoh_detailed
Bethania Clinic,clinic,Public,EC,,,-30.6228,28.333,,,,,,,who_mfl
Bezuidenhoutville Clinic,clinic,Public,EC,,1 Goliath Meyer Road Adelaide,-32.688,26.2981,,,,,NONE,66,ndoh_detailed
Bhele Clinic,clinic,Public,EC,,Bhele Clinic Feni Location Peddie Peddie,-33.203,27.1827,,,,,None,82,ndoh_detailed
Bhisho Gateway Clinic,clinic,Public,EC,East London,Komga Road Bhisho,-32.8279,27.45465,205,,,,None,84,ndoh_detailed
Bhisho Parliament Clinic,clinic,Public,EC,,,-32.8639,27.429,,,,,,,who_mfl
Bhongweni Clinic,clinic,Public,EC,,Auriet Cookhouse,-32.74608,25.7977,,,,,NONE,56,ndoh_detailed
Bilatye Clinic,clinic,Public,EC,,n/a Cofimvaba,-31.94644,27.36514,,,,,NONE,62,ndoh_detailed
Bityi Clinic,clinic,Public,EC,,BOKISIWI LOC MTHATHA,-31.79429,28.52341,,,,,NONE,73,ndoh_detailed
Bluegums Clinic,clinic,Public,EC,,BLUEGUMS CLINIC STERKSPRUIT,-30.5473,27.23263,,,,,NONE,80,ndoh_detailed
Bodweni Clinic,clinic,Public,EC,,BODWENI LOCATION UNDER LUSIKISIKI NEAR FLAGSTAFF L,-31.18501,29.55156,,,,,NONE,85,ndoh_detailed
Bokleni Clinic,clinic,Public,EC,,BOKLENI CLINIC NGCOBO,-31.59469,28.19491,,,,,NONE,27,ndoh_detailed
Bolotwa Clinic (Confimvaba),clinic,Public,EC,,Bolotwa Village Bolotwa village,-31.986534,27.200615,,,,,NONE,54,ndoh_detailed
Bolotwa Clinic (Idutywa),clinic,Public,EC,,Bolotwa Village Idutywa,-31.9161,28.2929,,,,,NONE,65,ndoh_detailed
Bomvana Clinic,clinic,Public,EC,,Ntlonyana Location Ellliotdale,-32.1064,28.8127,,,,,NONE,32,ndoh_detailed
Bomvini Clinic,clinic,Public,EC,,BOMVINI A/A LUSIKISIKI,-31.4018,29.472362,,,,,NONE,86,ndoh_detailed
Bongolethu Municipality Clinic,clinic,,EC,,,-33.606,22.238,,,,,,,who_mfl
Boomplaas Clinic,clinic,Public,EC,,Lady Frere 5410 Qhoboshane Village Lady Frere,-31.51293,27.17072,,,,,NONE,60,ndoh_detailed
Booysens Park Clinic,clinic,Public,EC,,OFF Anburn and Dunbar Road Boyesen Park,-33.862065,25.459035,,,,,booysenparkclinicschn@mandelametro.gov.za,68,ndoh_detailed
Braelyn Clinic,clinic,Public,EC,,Versuvius Street Braelyn Hall Braelyn,-33.00001,27.87932,,,,,None,40,ndoh_detailed
Braelyn Extension Clinic,clinic,Public,EC,,Guzana Street Braelyn Ext 10 Braelyn Ext 10,-33.00407,27.86092,,,,,None,69,ndoh_detailed
Breidbach Clinic,clinic,Public,EC,,Protea Drive East London,-32.88819,27.44363,,,,,NONE,63,ndoh_detailed
Bridgeton Clinic,clinic,Public,EC,,,-33.589,22.2123,,,,,,,who_mfl
Brister House Clinic,clinic,Public,EC,Port Elizabeth,6001,-33.9575,25.6187,,,,,,,who_mfl
Brug Straat Clinic (Jansenville),clinic,Public,EC,,3 Brug Street Jansenville,-32.94758,24.66725,,,,,NONE,56,ndoh_detailed
Buchele Clinic,clinic,Public,EC,,LIBODE,-31.49563,29.62175,,,,,NONE,71,ndoh_detailed
Bulembu Clinic,clinic,Public,EC,,Bulumbu Location Bhisho/Location,-32.87358,27.2677,,,,,None,54,ndoh_detailed
Buntingville Clinic,clinic,Public,EC,,NGQELENI,-31.63386,28.86661,,,,,NONE,71,ndoh_detailed
Burgersdorp Clinic,clinic,Public,EC,,1 JAN GREYLING STREET BURGERSDORP,-30.99475,26.33228,24,,,,NONE,71,ndoh_detailed
Burnshill Clinic,clinic,Public,EC,,Upper Cxulu Location Keiskammahoek,-32.7686,27.055,,,,,NONE,86,ndoh_detailed
Butterworth Gateway Clinic,clinic,Public,EC,Butterworth,"Fennel Street, Butterworth, 4960, South Africa",-32.3329,28.1395,269,,,,NONE,72,ndoh_detailed
CL Bikitsha Clinic,clinic,Public,EC,,Butterworth,-32.2784,28.105,,,,,NONE,52,ndoh_detailed
Caba Clinic,clinic,Public,EC,,CABAYALE QUMBU,-30.93633,28.71145,,,,,NONE,82,ndoh_detailed
Caguba Clinic,clinic,Public,EC,,CAGUBA A/A LIBODE,-31.6237,29.4494,,,,,NONE,71,ndoh_detailed
Cambridge Clinic,clinic,Public,EC,,Cnr Sprigg and Dominon Street Cambridge East Londo,-32.97788,27.88964,,,,+27 43 726 0142,NONE,38,ndoh_detailed
Cancele Clinic,clinic,Public,EC,,Cancele location Mt  Frere,-30.8481,28.7874,,,,,NONE,79,ndoh_detailed
Canzibe Gateway Clinic,clinic,Public,EC,,MAQADINI LOCATION,-31.80885,29.06584,140,,,,NONE,62,ndoh_detailed
Cata Clinic,clinic,Public,EC,,Upper Cxulu Location Keiskammahoek,-32.5952,27.1248,,,,,NONE,56,ndoh_detailed
Cathcart Clinic,clinic,Public,EC,"cathcart,eastern cape",Main Street Cathcart,-32.291765,27.155875,33,,,+27 45 843 1029,NONE,70,ndoh_detailed
Central Clinic (East London),clinic,Public,EC,East London,Standard Bank Building Cambridge Street EL Cambrid,-33.01683,27.90608,100,,,+27 43 702 3800,None,42,ndoh_detailed
